group_dim,group_value,model_name,split,n_samples,rejection_rate,pr_auc,roc_auc,precision,recall,f1,low_support
agent,OpenAI_Codex,qwen3_standard_llm,test,572,0.3339,0.4478,0.5971,0.398,0.4084,0.4031,False
agent,Devin,qwen3_standard_llm,test,227,0.3084,0.362,0.6093,0.4035,0.3286,0.3622,False
agent,Copilot,qwen3_standard_llm,val,536,0.3862,0.4174,0.5268,0.4268,0.1691,0.2422,False
agent,Claude_Code,qwen3_standard_llm,val,42,0.381,0.4156,0.5529,0.3,0.1875,0.2308,False
agent,OpenAI_Codex,qwen3_standard_llm,val,529,0.3233,0.3802,0.5767,0.3797,0.4152,0.3966,False
agent,Cursor,qwen3_standard_llm,val,312,0.2596,0.3698,0.5779,0.2869,0.4321,0.3448,False
agent,Devin,qwen3_standard_llm,val,179,0.2961,0.2914,0.5183,0.3393,0.3585,0.3486,False
agent,Claude_Code,qwen3_standard_llm,test,62,0.4194,0.4835,0.5454,0.375,0.2308,0.2857,False
agent,Copilot,qwen3_standard_llm,test,480,0.4188,0.4573,0.526,0.4875,0.194,0.2776,False
agent,Cursor,qwen3_standard_llm,test,256,0.2891,0.4507,0.66,0.425,0.4595,0.4416,False
agent,OpenAI_Codex,qwen3_standard_llm,test,572,0.3339,0.4478,0.5971,0.398,0.4084,0.4031,False
agent,Devin,qwen3_standard_llm,test,227,0.3084,0.362,0.6093,0.4035,0.3286,0.3622,False
agent,Copilot,qwen3_standard_llm,val,536,0.3862,0.4174,0.5268,0.4268,0.1691,0.2422,False
agent,Claude_Code,qwen3_standard_llm,val,42,0.381,0.4156,0.5529,0.3,0.1875,0.2308,False
agent,OpenAI_Codex,qwen3_standard_llm,val,529,0.3233,0.3802,0.5767,0.3797,0.4152,0.3966,False
agent,Cursor,qwen3_standard_llm,val,312,0.2596,0.3698,0.5779,0.2869,0.4321,0.3448,False
agent,Devin,qwen3_standard_llm,val,179,0.2961,0.2914,0.5183,0.3393,0.3585,0.3486,False
agent,Claude_Code,qwen3_standard_llm,test,62,0.4194,0.4835,0.5454,0.375,0.2308,0.2857,False
agent,Copilot,qwen3_standard_llm,test,480,0.4188,0.4573,0.526,0.4875,0.194,0.2776,False
agent,Cursor,qwen3_standard_llm,test,256,0.2891,0.4507,0.66,0.425,0.4595,0.4416,False
agent,OpenAI_Codex,qwen3_standard_llm,test,572,0.3339,0.4478,0.5971,0.398,0.4084,0.4031,False
agent,Devin,qwen3_standard_llm,test,227,0.3084,0.362,0.6093,0.4035,0.3286,0.3622,False
agent,Copilot,qwen3_standard_llm,val,536,0.3862,0.4174,0.5268,0.4268,0.1691,0.2422,False
agent,Claude_Code,qwen3_standard_llm,val,42,0.381,0.4156,0.5529,0.3,0.1875,0.2308,False
agent,OpenAI_Codex,qwen3_standard_llm,val,529,0.3233,0.3802,0.5767,0.3797,0.4152,0.3966,False
agent,Cursor,qwen3_standard_llm,val,312,0.2596,0.3698,0.5779,0.2869,0.4321,0.3448,False
agent,Devin,qwen3_standard_llm,val,179,0.2961,0.2914,0.5183,0.3393,0.3585,0.3486,False
agent,Claude_Code,qwen3_standard_llm,test,62,0.4194,0.4835,0.5454,0.375,0.2308,0.2857,False
agent,Copilot,qwen3_standard_llm,test,480,0.4188,0.4573,0.526,0.4875,0.194,0.2776,False
agent,Cursor,qwen3_standard_llm,test,256,0.2891,0.4507,0.66,0.425,0.4595,0.4416,False
agent,OpenAI_Codex,qwen3_standard_llm,test,572,0.3339,0.4478,0.5971,0.398,0.4084,0.4031,False
agent,Devin,qwen3_standard_llm,test,227,0.3084,0.362,0.6093,0.4035,0.3286,0.3622,False
agent,Copilot,qwen3_standard_llm,val,536,0.3862,0.4174,0.5268,0.4268,0.1691,0.2422,False
agent,Claude_Code,qwen3_standard_llm,val,42,0.381,0.4156,0.5529,0.3,0.1875,0.2308,False
agent,OpenAI_Codex,qwen3_standard_llm,val,529,0.3233,0.3802,0.5767,0.3797,0.4152,0.3966,False
agent,Cursor,qwen3_standard_llm,val,312,0.2596,0.3698,0.5779,0.2869,0.4321,0.3448,False
agent,Devin,qwen3_standard_llm,val,179,0.2961,0.2914,0.5183,0.3393,0.3585,0.3486,False
agent,Claude_Code,qwen3_standard_llm,test,62,0.4194,0.4835,0.5454,0.375,0.2308,0.2857,False
agent,Copilot,qwen3_standard_llm,test,480,0.4188,0.4573,0.526,0.4875,0.194,0.2776,False
agent,Cursor,qwen3_standard_llm,test,256,0.2891,0.4507,0.66,0.425,0.4595,0.4416,False
agent,OpenAI_Codex,qwen3_standard_llm,test,572,0.3339,0.4478,0.5971,0.398,0.4084,0.4031,False
agent,Devin,qwen3_standard_llm,test,227,0.3084,0.362,0.6093,0.4035,0.3286,0.3622,False
agent,Copilot,qwen3_standard_llm,val,536,0.3862,0.4174,0.5268,0.4268,0.1691,0.2422,False
agent,Claude_Code,qwen3_standard_llm,val,42,0.381,0.4156,0.5529,0.3,0.1875,0.2308,False
agent,OpenAI_Codex,qwen3_standard_llm,val,529,0.3233,0.3802,0.5767,0.3797,0.4152,0.3966,False
agent,Cursor,qwen3_standard_llm,val,312,0.2596,0.3698,0.5779,0.2869,0.4321,0.3448,False
agent,Devin,qwen3_standard_llm,val,179,0.2961,0.2914,0.5183,0.3393,0.3585,0.3486,False
agent,Claude_Code,qwen3_standard_llm,test,62,0.4194,0.4835,0.5454,0.375,0.2308,0.2857,False
agent,Copilot,qwen3_standard_llm,test,480,0.4188,0.4573,0.526,0.4875,0.194,0.2776,False
agent,Cursor,qwen3_standard_llm,test,256,0.2891,0.4507,0.66,0.425,0.4595,0.4416,False
agent,OpenAI_Codex,qwen3_standard_llm,test,572,0.3339,0.4478,0.5971,0.398,0.4084,0.4031,False
agent,Devin,qwen3_standard_llm,test,227,0.3084,0.362,0.6093,0.4035,0.3286,0.3622,False
agent,Copilot,qwen3_standard_llm,val,536,0.3862,0.4174,0.5268,0.4268,0.1691,0.2422,False
agent,Claude_Code,qwen3_standard_llm,val,42,0.381,0.4156,0.5529,0.3,0.1875,0.2308,False
agent,OpenAI_Codex,qwen3_standard_llm,val,529,0.3233,0.3802,0.5767,0.3797,0.4152,0.3966,False
agent,Cursor,qwen3_standard_llm,val,312,0.2596,0.3698,0.5779,0.2869,0.4321,0.3448,False
agent,Devin,qwen3_standard_llm,val,179,0.2961,0.2914,0.5183,0.3393,0.3585,0.3486,False
agent,Claude_Code,qwen3_standard_llm,test,62,0.4194,0.4835,0.5454,0.375,0.2308,0.2857,False
agent,Copilot,qwen3_standard_llm,test,480,0.4188,0.4573,0.526,0.4875,0.194,0.2776,False
agent,Cursor,qwen3_standard_llm,test,256,0.2891,0.4507,0.66,0.425,0.4595,0.4416,False
agent,OpenAI_Codex,qwen3_standard_llm,test,572,0.3339,0.4478,0.5971,0.398,0.4084,0.4031,False
agent,Devin,qwen3_standard_llm,test,227,0.3084,0.362,0.6093,0.4035,0.3286,0.3622,False
agent,Copilot,qwen3_standard_llm,val,536,0.3862,0.4174,0.5268,0.4268,0.1691,0.2422,False
agent,Claude_Code,qwen3_standard_llm,val,42,0.381,0.4156,0.5529,0.3,0.1875,0.2308,False
agent,OpenAI_Codex,qwen3_standard_llm,val,529,0.3233,0.3802,0.5767,0.3797,0.4152,0.3966,False
agent,Cursor,qwen3_standard_llm,val,312,0.2596,0.3698,0.5779,0.2869,0.4321,0.3448,False
agent,Devin,qwen3_standard_llm,val,179,0.2961,0.2914,0.5183,0.3393,0.3585,0.3486,False
agent,Claude_Code,qwen3_standard_llm,test,62,0.4194,0.4835,0.5454,0.375,0.2308,0.2857,False
agent,Copilot,qwen3_standard_llm,test,480,0.4188,0.4573,0.526,0.4875,0.194,0.2776,False
agent,Cursor,qwen3_standard_llm,test,256,0.2891,0.4507,0.66,0.425,0.4595,0.4416,False
agent,OpenAI_Codex,qwen3_standard_llm,test,572,0.3339,0.4478,0.5971,0.398,0.4084,0.4031,False
agent,Devin,qwen3_standard_llm,test,227,0.3084,0.362,0.6093,0.4035,0.3286,0.3622,False
agent,Copilot,qwen3_standard_llm,val,536,0.3862,0.4174,0.5268,0.4268,0.1691,0.2422,False
agent,Claude_Code,qwen3_standard_llm,val,42,0.381,0.4156,0.5529,0.3,0.1875,0.2308,False
agent,OpenAI_Codex,qwen3_standard_llm,val,529,0.3233,0.3802,0.5767,0.3797,0.4152,0.3966,False
agent,Cursor,qwen3_standard_llm,val,312,0.2596,0.3698,0.5779,0.2869,0.4321,0.3448,False
agent,Devin,qwen3_standard_llm,val,179,0.2961,0.2914,0.5183,0.3393,0.3585,0.3486,False
agent,Claude_Code,qwen3_standard_llm,test,62,0.4194,0.4835,0.5454,0.375,0.2308,0.2857,False
agent,Copilot,qwen3_standard_llm,test,480,0.4188,0.4573,0.526,0.4875,0.194,0.2776,False
agent,Cursor,qwen3_standard_llm,test,256,0.2891,0.4507,0.66,0.425,0.4595,0.4416,False
agent,OpenAI_Codex,qwen3_standard_llm,test,572,0.3339,0.4478,0.5971,0.398,0.4084,0.4031,False
agent,Devin,qwen3_standard_llm,test,227,0.3084,0.362,0.6093,0.4035,0.3286,0.3622,False
